"You cannot change to auto run mode when there are deployed optimizations. First revert any deployed optimizations.","You cannot change to auto run mode when there are deployed optimizations. First revert any deployed optimizations."
"Record for","Record for"
Duration,Duration
"Pause for","Pause for"
". ' minutes'",". ' minutes'"
"United States","United States"
Europe,Europe
"Asia Pacific","Asia Pacific"
Australia,Australia
"South America","South America"
Africa,Africa
"Middle East","Middle East"
Auto,Auto
Manual,Manual
"Mageproxy Connector configuration validation failed.","Mageproxy Connector configuration validation failed."
" Check our <a href=""%1"">troubleshooting guide</a> for more information."," Check our <a href=""%1"">troubleshooting guide</a> for more information."
"Mageproxy Connector configuration validation failed. Check system messages for guidance.","Mageproxy Connector configuration validation failed. Check system messages for guidance."
"Any running recordings or deployed optimizations will be reset on the next cron run.","Any running recordings or deployed optimizations will be reset on the next cron run."
Yes,Yes
View,View
"All Store Views","All Store Views"
"No items selected","No items selected"
"Recording should have been finished. Please check the cron is running normally.","Recording should have been finished. Please check the cron is running normally."
Copied!,Copied!
No,No
"Manage Mageproxy Configuration","Manage Mageproxy Configuration"
"Mageproxy Connector","Mageproxy Connector"
Create,Create
Start,Start
Stop,Stop
Optimization,Optimization
Revert,Revert
mageproxy.io,mageproxy.io
"MageProxy Connector","MageProxy Connector"
Settings,Settings
Version,Version
Enabled,Enabled
Credentials,Credentials
"Service ID","Service ID"
"Api Key","Api Key"
Endpoints,Endpoints
"Tracking URL","Tracking URL"
"Api URL","Api URL"
"Auto Run","Auto Run"
"Run Mode","Run Mode"
"Minify JavaScript Bundles","Minify JavaScript Bundles"
"Minify Knockout Templates","Minify Knockout Templates"
Schedule,Schedule
Advanced,Advanced
"Include timestamp","Include timestamp"
"Request Timeout","Request Timeout"
Bundle,Bundle
"SRI Hash","SRI Hash"
"File Size","File Size"
"Minified Size","Minified Size"
"Compressed Size","Compressed Size"
recording,recording
"Module ID","Module ID"
Priority,Priority
Path,Path
"New Optimization","New Optimization"
Minification,Minification
Bundling,Bundling
"Select dependencies that should not be bundled","Select dependencies that should not be bundled"
"Select Dependencies","Select Dependencies"
ID,ID
Distribute,Distribute
"Configure page handle priority when dependencies are tied between
                        different page handles","Configure page handle priority when dependencies are tied between
                        different page handles"
"Select Page Handles","Select Page Handles"
Remove,Remove
"Select dependencies to remove","Select dependencies to remove"
"Transpilation (PRO)","Transpilation (PRO)"
"Enter browserslist config here, e.g. > 0.5%, last 2 versions","Enter browserslist config here, e.g. > 0.5%, last 2 versions"
"For more information, visit the Browserslist website","For more information, visit the Browserslist website"
Paths,Paths
"
                        Supports glob wild card patterns like *, ?, e.g Vendor_Module/js/**/*.js would recursively look
                        through all folders in the module for .js files. Use ! to exclude files, e.g. !Vendor_Module/js/**/*.min.js
                    ","
                        Supports glob wild card patterns like *, ?, e.g Vendor_Module/js/**/*.js would recursively look
                        through all folders in the module for .js files. Use ! to exclude files, e.g. !Vendor_Module/js/**/*.min.js
                    "
Glob,Glob
"Requested At","Requested At"
"Deployed At","Deployed At"
"Minify JS","Minify JS"
"Minify Html","Minify Html"
"Dependency Count","Dependency Count"
"Requested By","Requested By"
Status,Status
General,General
"Auto Run Template","Auto Run Template"
"Error message","Error message"
"In case of an error, contact support@mageproxy.io and mention the UUID above.","In case of an error, contact support@mageproxy.io and mention the UUID above."
Bundles,Bundles
"Minify Js","Minify Js"
"Minify Templates","Minify Templates"
"Excluded Dependencies","Excluded Dependencies"
"No excluded dependencies.","No excluded dependencies."
"Removed Dependencies","Removed Dependencies"
"No removed dependencies.","No removed dependencies."
"Page Handle Priority","Page Handle Priority"
"No custom page handle priority.","No custom page handle priority."
Transpilation,Transpilation
"No transpilation instructions.","No transpilation instructions."
"Enter browserslist config here...","Enter browserslist config here..."
"Glob Pattern","Glob Pattern"
"Select Store","Select Store"
"New Recording Info","New Recording Info"
"Store View","Store View"
"Recording Information","Recording Information"
Store,Store
"Started At","Started At"
"Scheduled Duration","Last Run Scheduled Duration"
Minutes,Minutes
"Ended At","Ended At"
"Static Version","Static Version"
"What is this?","What is this?"
"Initiated By","Initiated By"
Dependencies,Dependencies
"Optimization Info","Optimization Info"
"Dependency Count Chart","Dependency Count Chart"
Close,Close
"RequireJs Dependency Count","RequireJs Dependency Count"
Count,Count
"Optimize Recording","Optimize Recording"
"System Configuration","System Configuration"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Delete items"
"Scheduled At","Scheduled At"
"Finished At","Finished At"
"Duration (min)","Duration (min)"
Initiator,Initiator
